sample,feature,中文策略,phase,dtr_adjusted_corr,split_a_corr,split_b_corr,stable_sign,n
Broad creativity,motif_late_synthesis,后期综合整理,motif,0.1374604572063696,0.1276022908261123,0.1480505272468308,1,36017
Broad creativity,max_assistant_question,曾主动提问,ever,0.1317292142485327,0.1330076797867032,0.1320332714185483,1,36017
Broad creativity,motif_clarify_then_answer,先澄清再回答,motif,0.1304900875949782,0.1305523947667201,0.1319349737527032,1,36017
Broad creativity,max_contrastive_explanation,对比不同方案/概念,ever,0.0774617422637177,0.0781083649699356,0.076423565612212,1,36017
Broad creativity,max_selection_criteria,提供选择标准,ever,0.068186136936749,0.0621239008798573,0.0741275681639618,1,36017
Broad creativity,max_context_uptake,吸收用户上下文,ever,0.0633636388224594,0.0569755227559008,0.0693655123928889,1,36017
Broad creativity,max_convergent_synthesis,收敛并综合方案,ever,0.0549257487463159,0.0508521501165697,0.0600912160465416,1,36017
Broad creativity,max_knowledge_bridge,解释可迁移知识,ever,0.0495347929632982,0.0413826780707937,0.0572296654589947,1,36017
Broad creativity,max_divergent_ideas,提出差异化想法,ever,0.0418281192577331,0.03816255719407,0.0450452106874209,1,36017
Broad creativity,max_option_generation,生成多个选项,ever,0.0385621941098482,0.0284624923577065,0.0480999712355219,1,36017
Strict brainstorming,motif_late_synthesis,后期综合整理,motif,0.1450658392998499,0.1541938464871371,0.1359001874277704,1,12565
Strict brainstorming,max_context_uptake,吸收用户上下文,ever,0.1158687186311815,0.1189875385666876,0.1125233986803671,1,12565
Strict brainstorming,max_assistant_question,曾主动提问,ever,0.1152516975799771,0.118733529702057,0.1114673585805032,1,12565
Strict brainstorming,motif_clarify_then_answer,先澄清再回答,motif,0.1110249774480898,0.1174681337633542,0.1040304978017106,1,12565
Strict brainstorming,max_contrastive_explanation,对比不同方案/概念,ever,0.0874043773238632,0.0732456708750302,0.1002706091169763,1,12565
Strict brainstorming,max_selection_criteria,提供选择标准,ever,0.0851263169202444,0.0913382110269559,0.0775579012422572,1,12565
Strict brainstorming,max_convergent_synthesis,收敛并综合方案,ever,0.0781496468097177,0.0837135545352525,0.0720663410983398,1,12565
Strict brainstorming,max_option_generation,生成多个选项,ever,0.0605895269956533,0.0659826017166332,0.0547232661279705,1,12565
Strict brainstorming,max_divergent_ideas,提出差异化想法,ever,0.0604718328533644,0.0556125990592802,0.0671428143951031,1,12565
Strict brainstorming,max_knowledge_bridge,解释可迁移知识,ever,0.0531156586070867,0.0632734927216164,0.0408385473422577,1,12565
